;;;;;;;;;;;;;;;;;;;;;;;;;;;
KALEM BAZINDA AMBALAJ TIR KAMPANYASI MALİYETLERİ FAWORİ OPTİMİX (ARALIK 2025-8);;;;;;;;;;;;;;;;;;;;;;;;;;;
MALZEME İSMİ;KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;2025-7;;;;;"MALZEME İSMİ
EYLÜL 2025-6";KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;
Fawori Optimix Isı Yalıtım Levhası Karbonlu 2 cm;822,56 TL;9;16;;;;;628,76 TL;50,30 TL;0,00%;822,56 TL;;523,97;41,92;;Fawori Optimix Isı Yalıtım Levhası Karbonlu 4 cm;717,87 TL;9;16;;;;;548,74 TL;91,46 TL;576,37;46,11
Fawori Optimix Isı Yalıtım Levhası Karbonlu 3 cm;717,87 TL;9;16;;;;;548,74 TL;68,59 TL;0,00%;717,87 TL;;457,28;57,16;;Fawori Optimix Isı Yalıtım Levhası Karbonlu 5 cm;747,78 TL;9;16;;;;;571,60 TL;114,32 TL;503,01;62,88
Fawori Optimix Isı Yalıtım Levhası Karbonlu 4 cm;717,87 TL;9;16;;;;;548,74 TL;91,46 TL;0,00%;717,87 TL;;457,28;76,21;;Fawori Optimix Isı Yalıtım Yapıştırma Harcı 25 kg;199,20 TL;9;16;;;;;152,27 TL;;503,01;83,84
Fawori Optimix Isı Yalıtım Levhası Karbonlu 5 cm;747,78 TL;9;16;;;;;571,60 TL;114,32 TL;0,00%;747,78 TL;;476,34;95,27;;Fawori Optimix Isı Yalıtım Sıva Harcı 25 kg;219,60 TL;9;16;;;;;167,86 TL;;523,97;104,79
Fawori Optimix Isı Yalıtım Levhası Karbonlu 6 cm;717,87 TL;9;16;;;;;548,74 TL;137,18 TL;0,00%;717,87 TL;;457,28;114,32;;Fawori Optimix Donatı Filesi F160 50 m2;1.459,80 TL;9;8;;;;;1.222,14 TL;;503,01;125,75
Fawori Optimix Isı Yalıtım Levhası Karbonlu 7 cm;732,82 TL;9;16;;;;;560,17 TL;160,05 TL;0,00%;732,82 TL;;466,81;133,37;;Fawori Optimix Plastik Çivili Dübel 9,5 cm                  600 adet;1.066,79 TL;9;8;;;;;893,12 TL;;513,49;146,71
Fawori Optimix Isı Yalıtım Levhası Karbonlu 8 cm;717,87 TL;9;16;;;;;548,74 TL;182,91 TL;0,00%;717,87 TL;;457,28;152,43;;Fawori Optimix Plastik Çivili Dübel 11,5 cm                600 adet;1.105,73 TL;9;8;;;;;925,72 TL;;503,01;167,67
Fawori Optimix Isı Yalıtım Levhası Karbonlu 9 cm;673,00 TL;9;16;;;;;514,44 TL;205,78 TL;0,00%;673,00 TL;;428,70;171,48;;Fawori Optimix Fileli Köşe (PVC) 2,5 m      (50 adet 125 m);2.400,00 TL;9;8;;;;;2.009,28 TL;;471,57;188,63
Fawori Optimix Isı Yalıtım Levhası Karbonlu 10 cm;747,78 TL;9;16;;;;;571,60 TL;228,64 TL;0,00%;747,78 TL;;476,34;190,53;;Fawori Optimix Kaplama Astarı 25 kg;1.200,00 TL;9;8;;;;;1.004,64 TL;;523,97;209,59
Fawori Optimix Isı Yalıtım Yapıştırma Harcı 25 kg;205,18 TL;9;16;;;;;156,84 TL;;0,00%;205,18 TL;;130,70;;;Fawori Optimix Mineral Kaplama (ince tane) 25 kg;305,40 TL;9;16;;;;;233,45 TL;;143,77;
