;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAŞYÜNÜ LEVHA KDV HARİÇ TIR MALİYETLERİ DALMAÇYALI-EXPERT-FAWORİ ARALIK 2025-8;;;;;;;;;;;;;;;;Ürün Tanımı;"BETEK TAŞYÜNÜ PAKET VE PALET İÇİ ADET
KAMYON VE TIR YÜKLEME MİKTARLARI";;;;;;;;;;;
MALZEME İSMİ;KDV HARİÇ LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV HARİÇ İSKONTOLU 1 PAKET FİYATI ;KDV HARİÇ M2 FİYATI;2025-7;;;;;;;"Kalınlık
(mm)";"Uzunluk
(mm)";"Genişlik
(mm)";"Paket
İçi Adet";"Palet İçi
Paket Adeti";"Palet
İçi Adet";;"Tır Adet
(26 Palet)";"Kamyon Adet
(14 Palet)";;Tır m2;Kamyon m2
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 3cm;1.544,80 TL;18;8;;;;;1.165,40 TL;194,23 TL;1.404,30 TL;10,00%;213,66;;;;"Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası
Expert Premium Taşyünü Isı Yalıtım Sistem Levhası
Expert LD125 Taşyünü Isı Yalıtım Sistem Levhası
Expert HD150 Taşyünü Isı Yalıtım Sistem Levhası
Expert VF80 Taşyünü Giydirme Cephe Levhası
Expert RF150 Taşyünü Teras Çatı Levhası
Fawori TR7.5 Taşyünü Isı Yalıtım Sistem Levhası";30;600;1000;10;16;160;;4.160;2.240;;2.496,00;1.344,00
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 4cm;1.055,58 TL;18;8;;;;;796,33 TL;221,20 TL;959,64 TL;10,00%;243,32;;;;;40;600;1000;6;20;120;;3.120;1.680;;1.872,00;1.008,00
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 5cm;1.287,30 TL;18;8;;;;;971,14 TL;269,76 TL;1.170,30 TL;10,00%;296,74;;;;;50;600;1000;6;16;96;;2.496;1.344;;1.497,60;806,40
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 6cm;1.287,30 TL;18;8;;;;;971,14 TL;323,71 TL;1.170,30 TL;10,00%;356,08;;;;;60;600;1000;5;20;80;;2.080;1.120;;1.248,00;672,00
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 7cm;1.201,48 TL;18;8;;;;;906,40 TL;377,67 TL;1.092,28 TL;10,00%;415,43;;;;;70;600;1000;4;16;64;;1.664;896;;998,40;537,60
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 8cm;1.029,84 TL;18;8;;;;;776,91 TL;431,62 TL;936,24 TL;10,00%;474,78;;;;;80;600;1000;3;20;60;;1.560;840;;936,00;504,00
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 9cm;1.158,60 TL;18;8;;;;;874,05 TL;485,58 TL;1.053,27 TL;10,00%;534,14;;;;;90;600;1000;3;18;54;;1.404;756;;842,40;453,60
Dalmaçyalı Stonewool SW035 Taşyünü Yalıtım Levhası 10cm;1.287,33 TL;18;8;;;;;971,16 TL;539,53 TL;1.170,30 TL;10,00%;593,49;;;;;100;600;1000;3;16;48;;1.248;672;;748,80;403,20
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 5cm;1.660,80 TL;18;8;;;;;1.252,91 TL;348,03 TL;1.509,84 TL;10,00%;382,83;;;;;120;600;1000;2;20;40;;1.040;560;;624,00;336,00
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 6cm;1.660,80 TL;18;8;;;;;1.252,91 TL;417,64 TL;1.509,85 TL;10,00%;459,40;;;;;140;600;1000;2;16;32;;832;448;;499,20;268,80
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 7cm;1.550,12 TL;18;8;;;;;1.169,41 TL;487,25 TL;1.409,20 TL;10,00%;535,98;;;;;160;600;1000;1;30;30;;780;420;;468,00;252,00
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 8cm;1.328,67 TL;18;8;;;;;1.002,35 TL;556,86 TL;1.207,86 TL;10,00%;612,55;;;;;180;600;1000;1;26;26;;676;364;;405,60;218,40
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 9cm;1.494,75 TL;18;8;;;;;1.127,64 TL;626,47 TL;1.358,85 TL;10,00%;689,11;;;;;200;600;1000;1;24;24;;624;336;;374,40;201,60
Dalmaçyalı Stonewool CS60 Taşyünü Teras Çatı Levhası 10cm;1.660,83 TL;18;8;;;;;1.252,93 TL;696,07 TL;1.509,84 TL;10,00%;765,68;;;;Ürün Tanımı;"Kalınlık
(mm)";"Uzunluk
(mm)";"Genişlik
(mm)";"Paket
İçi Adet";"Palet İçi
Paket Adeti";"Palet
İçi Adet";;"Tır Adet
(26 Palet)";"Kamyon Adet
(14 Palet)";;Tır m2;Kamyon m2
Dalmaçyalı Stonewool Taşyünü Yangın Bariyeri Levhası 4cm;7.389,60 TL;9;;;;;;6.724,54 TL;186,79 TL;6.717,60 TL;10,00%;205,47;;;;;;;;;;;;;;;;
